HER Number,Site Name,Site Type (Specific),Latitude,Longitude
3872,"Low Eighton, Dam",Dam,54.913745,-1.5844166
3962,"Throckley, Throckley Mill (Dewley Mill)",Watermill,55.004878,-1.7540448
3999,"West Brunton, Brunton Mill",Watermill,55.02248,-1.6729166
4138,"Heaton, Mill Race",Mill Race,54.989974,-1.5917566
4921,"Woolsington Park, cascade",Mill Race,55.024125,-1.6833832
4939,"Newburn, Low Mill",Watermill,54.981116,-1.7359087
4940,"Newburn, High Mill",Watermill,54.983816,-1.7374536
5681,"Jesmond Dene, Busy Cottage Mill, mill race",Mill Race,54.990695,-1.5922182
5704,"Jesmond Dene, weir",Weir,54.998996,-1.6024511
5705,"Jesmond Dene, weir with sluice gate",Weir,54.999086,-1.6026066
5750,"Jesmond Dene, weir and sluice gate",Weir,54.992587,-1.593762
5751,"Jesmond Dene, weir and sluice gate",Weir,54.994027,-1.5945289
5752,"Jesmond Dene, weir and sluice gate",Weir,54.995016,-1.5946753
5753,"Jesmond Dene, weir",Weir,54.99655,-1.5965355
5754,"Jesmond Dene, weir",Weir,55.000709,-1.6043101
5756,"Jesmond Vale, weir",Weir,54.986995,-1.5877237
5757,"Jesmond Vale, mill race",Mill Race,54.975782,-1.593619
5760,"Jesmond Vale, weir",Weir,54.981975,-1.591369
5991,"Blaydon Burn, mill race",Mill Race,54.962416,-1.7316583
5992,"Blaydon Burn, Haggerstone's Mill, mill pond",Mill Pond,54.962417,-1.7324392
6963,"Beamish Burn, dam",Dam,54.881924,-1.6467318
8436,"Blaydon Burn, weir",Weir,54.961252,-1.7336963
8445,"Blaydon Burn, weir",Weir,54.963398,-1.7289967
8446,"Blaydon Burn, dam",Dam,54.963307,-1.7285288
8447,"Blaydon Burn, sluice and weir",Weir,54.963483,-1.7268096
8448,"Blaydon Burn, weir",Weir,54.963752,-1.7263393
12082,"Lintzford, mill race",Mill Race,54.908752,-1.767576
12383,"Gibside, leat and site of mill",Leat,54.930316,-1.7231329
15742,"Hebburn, Hawthorn Leslie Shipyard, pump room",Pump House,54.983622,-1.5252542
16804,"Shiney Row, Penshaw water mill",Watermill,54.86174,-1.4961516
53,Southwick windmill,Windmill,54.922169,-1.4055281
419,"Wearmouth, windmill",Windmill,54.90626,-1.388747
679,Whickham windmill,Windmill,54.943852,-1.6735547
715,Heworth windmill,Windmill,54.933895,-1.5645445
738,"Tynemouth, Windmill",Windmill,55.015118,-1.4307397
740,Billy Mill,Windmill,55.016207,-1.4729489
805,Wallsend mill,Windmill,54.996918,-1.5310841
948,"South Shields, windmill",Windmill,54.996285,-1.4388217
958,Boldon windmill,Windmill,54.944387,-1.4482866
962,Whitburn/Cleadon medieval windmill,Windmill,54.956117,-1.3659886
969,Jarrow windmill,Windmill,54.97852,-1.4859417
1029,Whitburn Windmill,Windmill,54.955488,-1.3659985
1052,"Whitley Bay, Windmill",Windmill,55.052231,-1.4500926
1199,"Tynemouth, Tomling's Windmill",Windmill,55.019289,-1.438657
1332,"Mason, windmill",Windmill,55.051021,-1.660319
1346,"Kenton, windmill",Windmill,55.002395,-1.6595415
1382,"Byker, mill(s)",Windmill?,54.977965,-1.5750047
1383,"Byker, Shelewood mill",Windmill,54.971727,-1.6010332
1587,Cleadon Windmill,Windmill,54.96174,-1.3935434
1588,"West Boldon, Boldon Mill",Windmill,54.944387,-1.4482866
1693,"Shieldfield, windmill",Windmill,54.977967,-1.6021901
2004,"Billy Mill, Billy Windmill",Windmill,55.015672,-1.4738943
2151,"Whitley Bay, Wind Pump",Wind Pump,55.037237,-1.4531144
2614,"Washington, Washington Mill",Windmill,54.906906,-1.5562577
2697,"Fulwell, Fulwell Windmill",Windmill,54.928292,-1.3899892
2699,"Monkwearmouth, Windmill",Windmill,54.919232,-1.3932464
2755,"Southwick, Windmill",Windmill,54.921989,-1.4055308
2824,"Bishopwearmouth, Millfield, Windmill",Windmill,54.906043,-1.3974997
2853,"Bishopwearmouth, Windmill",Windmill,54.901369,-1.3972576
2896,"Hendon, Windmill",Windmill,54.90084,-1.3638941
2945,"Ryhope, Stoop Mill",Windmill,54.884393,-1.3636855
2946,"Ryhope, Ryhope Mill",Windmill,54.882321,-1.362627
2972,"Warden Law, Warden Law Windmill",Windmill,54.846897,-1.431552
3104,"Penshaw, Penshaw Windmill",Windmill,54.869636,-1.4934043
3169,"Houghton-le-Spring, Houghton Windmill",Windmill,54.848498,-1.4676608
3492,"Gateshead, Windmill Hills, Windmill",Windmill,54.9576,-1.612073
3494,"Gateshead, Windmill Hills, Windmill",Windmill,54.960109,-1.6097063
3825,"Deckham, Windmill",Windmill,54.946735,-1.5871989
3832,"Windy Nook, Heworth Windmill",Windmill,54.941053,-1.5813254
4075,"Cowgate, Windmill",Windmill,54.989981,-1.6519261
4097,"Elswick, Elswick Mill (Sinton's Mill)",Windmill,54.973234,-1.6406668
4140,"Heaton, Windmill",Windmill,54.98573,-1.5857052
4160,"Byker, Windmill",Windmill,54.978502,-1.5743741
4186,"Walker, Windmill",Windmill,54.985516,-1.5505472
4319,"Newcastle, Claremont Road, Chimney Mill",Windmill,54.983882,-1.6255707
4438,"Sunderland, Covent Garden Post Mill",Windmill,54.907998,-1.375167
4439,"Sunderland, Windmill, Hylton Road",Windmill,54.906279,-1.4088814
4440,"Sunderland, Windmill, Hylton Road",Windmill,54.906279,-1.4088814
4480,"Monkwearmouth, Windmill",Windmill,54.917797,-1.3759513
4493,"South Shields, Windmill",Windmill,54.990465,-1.4434352
4851,"Dinnington, site of windmill & cottage",Windmill,55.041188,-1.6791801
5451,"Ouseburn, Stepney Bank, windmill",Windmill,54.974891,-1.5958152
5484,"Ouseburn, Coney Close Windmill",Windmill,54.971734,-1.592254
5609,"Gateshead, West Street, windmill",Windmill,54.961615,-1.6031324
5610,"Gateshead, West Street, windmill",Windmill,54.960805,-1.6026719
7833,"South Shields, Mill Dam, Windmill",Windmill,54.99394,-1.4371351
8398,"Silksworth, Mill Hill",Windmill,54.871974,-1.4137464
8407,"South Shields, windmill",Windmill,55.00435,-1.4340189
10796,"Newcastle, New Mills, windmill",Windmill,54.977791,-1.6318769
11321,"Newcastle, St. Andrew's Street, Nos. 66-70, windmill",Windmill,54.973437,-1.6187942
11611,"Ryhope, Mill Hill, Ryhope Mill",Windmill,54.86559,-1.3767575
11662,"Deckham, windmill",Windmill,54.947461,-1.589221
16112,"Gateshead, Alexander Road, windmill mound",Windmill Mound,54.957763,-1.6069182
16113,"Gateshead, Prince Consort Road, possible windmill mound",Windmill Mound,54.958553,-1.6011325
16495,"Brunton, windmill",Windmill,55.020398,-1.667303
16581,"Byker, Union Street, Union Mill",Windmill,54.975975,-1.5976791
17123,"Hetton-le-Hole, Hetton Mill",Watermill,54.830963,-1.4650893
