URL,List Entry Number,Heritage Category,Grade,Heritage Asset Name,Alternative Name,Monument Type,Period Name,Phase Display Date,Main Material,Covering Material,Address Line 1,Address Line2,Address Line3,Address Line4,Address Line5,Post Town,Post Code,Parish,District/Unitary Authority,County,Locality,NGR,Latitude,Longitude,First Designated Date,Last Amendment Date,Legacy Number
https://historicengland.org.uk/listing/the-list/list-entry/1024939,1024939,Listing,I,"SOUTH POSTERN TOWER FACING THE RIVER, AND CURTAIN WALL ADJOINING",,"CURTAIN WALL, POSTERN, ","MEDIEVAL, POST MEDIEVAL, ","Built 1168-1178, C13 alterations, Late C19 alterations, ","SANDSTONE, ",,"SOUTH POSTERN TOWER FACING THE RIVER, AND CURTAIN WALL ADJOINING",,CASTLE GARTH,,,,,Non Civil Parish,Newcastle upon Tyne,,NEWCASTLE UPON TYNE,NZ 25098 63837,54.96852487,-1.60950148,14 June 1954,14 June 1954,304452
https://historicengland.org.uk/listing/the-list/list-entry/1025137,1025137,Listing,I,OLD HOLLINSIDE,,"FORTIFIED MANOR HOUSE, ","MEDIEVAL, ","Possibly built C13, ","RUBBLE, SANDSTONE, ",,OLD HOLLINSIDE,,CLOCKBURN LANE,,,,,Non Civil Parish,Gateshead,,WHICKHAM,NZ1854859920,54.9336173,-1.71205753,1 February 1950,18 November 1985,303886
https://historicengland.org.uk/listing/the-list/list-entry/1025160,1025160,Listing,I,CHURCH OF HOLY CROSS,,"PARISH CHURCH, ","MEDIEVAL, POST MEDIEVAL, ","Built C13, Restored 1877-1886, ","ASHLAR, SANDSTONE, STONE, ","LAKE DISTRICT SLATE, ",CHURCH OF HOLY CROSS,,THE GREEN,,,,,Non Civil Parish,Gateshead,,RYTON,NZ 15100 64831,54.97786246,-1.76561265,21 January 1949,21 January 1949,303854
https://historicengland.org.uk/listing/the-list/list-entry/1025166,1025166,Listing,I,MONUMENT TO BRITISH LIBERTY,GIBSIDE COLUMN NORTH EAST OF GIBSIDE,"COLUMN, STATUE, ","POST MEDIEVAL, ","Constructed 1750-1757, ","ASHLAR, SANDSTONE, ",,MONUMENT TO BRITISH LIBERTY,,B6314,,,,,Non Civil Parish,Gateshead,,"GIBSIDE ESTATE, WHICKHAM",NZ 17948 59132,54.92655563,-1.72147345,1 February 1950,18 November 1985,303872
https://historicengland.org.uk/listing/the-list/list-entry/1025198,1025198,Listing,I,"MONASTERY OF ST PAUL&#x0D;
RUINS OF JARROW MONASTERY",RUINS OF JARROW MONASTERY (ST PAULS),"BENEDICTINE CELL, BENEDICTINE MONASTERY, PRIORY, ","MEDIEVAL, ","C13 S range, Extant 1083-1536, Post Norman W range, ","SANDSTONE, ",,MONASTERY OF ST PAUL,,CHURCH BANK,,,,,Non Civil Parish,South Tyneside,,JARROW,NZ 33881 65183,54.98010406,-1.4721627,18 January 1949,26 February 1985,303746
,,,,,,,,,,,RUINS OF JARROW MONASTERY,,CHURCH BANK,,,,,Non Civil Parish,South Tyneside,,JARROW,NZ 33881 65183,54.98010406,-1.4721627,18 January 1949,26 February 1985,303746
https://historicengland.org.uk/listing/the-list/list-entry/1041251,1041251,Listing,I,NUNNYKIRK HALL,,"COUNTRY HOUSE, SCHOOL, ","LATE 20TH CENTURY, POST MEDIEVAL, ","Constructed 1825, Converted by 1987, ","ASHLAR, STONE, ","LAKE DISTRICT SLATE, ",NUNNYKIRK HALL,,,,,,,Nunnykirk,Northumberland,,NUNNYKIRK,NZ 08096 92626,55.22778801,-1.87426253,29 May 1987,29 May 1987,236295
https://historicengland.org.uk/listing/the-list/list-entry/1041317,1041317,Listing,I,CHURCH OF OUR LADY,,"MANORIAL CHAPEL, PARISH CHURCH, ","MEDIEVAL, POST MEDIEVAL, ","Built early C12, E end rebuilt c1330, Restored and porch added 1895, ","ASHLAR, RUBBLE, STONE, ","STONE, ",CHURCH OF OUR LADY,,A190,,,,,Seaton Valley,Northumberland,,,NZ 32188 76416,55.0811525,-1.49734074,28 July 1950,28 July 1950,236043
,,,,,,,,,,,CHURCH OF OUR LADY,,THE AVENUE,,,,,Seaton Valley,Northumberland,,,NZ 32188 76416,55.0811525,-1.49734074,28 July 1950,28 July 1950,236043
https://historicengland.org.uk/listing/the-list/list-entry/1041321,1041321,Listing,I,THE HALL,SEATON DELAVAL HALL,"COUNTRY HOUSE, STABLE, ","POST MEDIEVAL, ","1718-29, 1752, 1814-15, 1822, ","ASHLAR, ","LAKE DISTRICT SLATE, ",THE HALL,,,,,,,Seaton Valley,Northumberland,,SEATON DELAVAL HALL,NZ 32243 76528,55.08215743,-1.49647208,28 July 1950,15 July 1987,236050
https://historicengland.org.uk/listing/the-list/list-entry/1041365,1041365,Listing,I,BOTHAL CASTLE REMAINS OF CURTAIN WALL TO SOUTH OF RESIDENTIAL BLOCK,,"CASTLE, CURTAIN WALL, ENCLOSURE, ","MEDIEVAL, POST MEDIEVAL, ","Built 1343, C19, Late Mediaeval alterations, ","STONE, ",,BOTHAL CASTLE REMAINS OF CURTAIN WALL TO SOUTH OF RESIDENTIAL BLOCK,,BOTHAL VILLAGE,,,,,Ashington,Northumberland,,BOTHAL,NZ 24017 86464,55.17190111,-1.62448176,14 April 1949,14 April 1949,235950
https://historicengland.org.uk/listing/the-list/list-entry/1041405,1041405,Listing,I,PERCY TENANTRY COLUMN,PERCY TENANTRY COLUMN,"COLUMN, ","POST MEDIEVAL, ","Constructed 1816, ","GRANITE, MARBLE, ",,PERCY TENANTRY COLUMN,,SOUTH ROAD,,,,,Alnwick,Northumberland,,,NU 19146 13037,55.41088946,-1.69915542,20 February 1952,25 August 1977,235848
https://historicengland.org.uk/listing/the-list/list-entry/1041460,1041460,Listing,I,NORTHUMBERLAND HALL (ASSEMBLY ROOMS),,"ASSEMBLY HALL, PLAQUE, ","EARLY 20TH CENTURY, POST MEDIEVAL, ","1830 alterations, 1919 addition, Constructed 1826, ","ASHLAR, CAST IRON, ","SLATE, ",NORTHUMBERLAND HALL (ASSEMBLY ROOMS),,MARKET PLACE,,,,,Alnwick,Northumberland,,,NU 18646 13283,55.41311961,-1.70704168,20 February 1952,20 February 1952,235774
https://historicengland.org.uk/listing/the-list/list-entry/1041491,1041491,Listing,I,Canongate Bridge,,"ROAD BRIDGE, ","POST MEDIEVAL, ","Constructed 1821, ","ASHLAR, STONE, ",,Canongate Bridge,Canongate,Alnwick,,,,,Alnwick,Northumberland,,,NU1809414010,55.41966811,-1.71571504,20 February 1952,20 February 1952,235666
,,,,,,,,,,,Canongate Bridge,Canongate,Alnwick,,,,,Denwick,Northumberland,,,NU1809414010,55.41966811,-1.71571504,20 February 1952,20 February 1952,235666
https://historicengland.org.uk/listing/the-list/list-entry/1041513,1041513,Listing,I,THE HOTSPUR GATEWAY OR BONDGATE TOWER,,"GATE, TOWN WALL, ","MEDIEVAL, ","c1450, ","ASHLAR, ",,THE HOTSPUR GATEWAY OR BONDGATE TOWER,,BONDGATE WITHIN,,,,,Alnwick,Northumberland,,,NU 18855 13229,55.41262626,-1.70373875,20 February 1952,20 February 1952,235619
https://historicengland.org.uk/listing/the-list/list-entry/1041546,1041546,Listing,I,CHURCH OF ST MICHAEL,,"CHAPEL, FORTIFIED CHURCH, LYCH GATE, PARISH CHURCH, ","MEDIEVAL, POST MEDIEVAL, ","1880s sacristy and vestry, Built 1464, C14 chapel extension, Incorporates parts of Norman chapel, Largely rebuilt 1464, Post Mediaeval?, Restored 1782, Restored 1863, ","ASHLAR, STONE, ","SLATE, ",CHURCH OF ST MICHAEL,,BAILIFFGATE,,,,,Alnwick,Northumberland,,,NU1838613703,55.41690495,-1.71111778,25 August 1977,08 February 2012,235598
https://historicengland.org.uk/listing/the-list/list-entry/1041684,1041684,Listing,I,WARKWORTH HERMITAGE,,,,,"STONE, ",,WARKWORTH HERMITAGE,,RIVER COQUET,,,,,Warkworth,Northumberland,,RIVER COQUET,NU 24146 05952,55.34700891,-1.62079889,31 December 1969,31 December 1969,237222
https://historicengland.org.uk/listing/the-list/list-entry/1041690,1041690,Listing,I,"CASTLE CURTAIN WALLS WITH GATEWAY, TOWERS AND ATTACHED BUILDINGS",,"BREWHOUSE, CASTLE, COLLEGIATE CHURCH, CURTAIN WALL, GATE TOWER, LAUNDRY, SERVICE WING, STABLE, WELL HOUSE, ","MEDIEVAL, POST MEDIEVAL, ","C12-16, Ruinous in late C16, ","ASHLAR, STONE, ",,"CASTLE CURTAIN WALLS WITH GATEWAY, TOWERS AND ATTACHED BUILDINGS",,,,,,,Warkworth,Northumberland,,WARKWORTH CASTLE,NU 24719 05756,55.34521697,-1.61178172,31 December 1969,31 December 1969,237237
https://historicengland.org.uk/listing/the-list/list-entry/1041881,1041881,Listing,I,Church of St. Michael and All Angels,,"PARISH CHURCH, ","MEDIEVAL, POST MEDIEVAL, ","1870 Alterations, 1884 Repair, c1200 nave and chancel, c1400 Alterations, C16 or late C17 Alterations, c1845 Alterations, Early C14 Alterations, Extended c1900, Late C13 Alterations, ","STONE, ","LAKE DISTRICT SLATE, STONE, ",Church of St. Michael and All Angels,Riverside,,,,,,Felton,Northumberland,,,NU 18213 00199,55.29556698,-1.71471992,15 September 1988,15 September 1988,236791
https://historicengland.org.uk/listing/the-list/list-entry/1041990,1041990,Listing,I,CHURCH OF ST JOHN THE BAPTIST,,"CHURCH, PARISH CHURCH, ","EARLY 20TH CENTURY, EARLY MEDIEVAL, MEDIEVAL, POST MEDIEVAL, ","1902 Restoration, c1190 Alterations, c1300 Alterations, C14 Alterations, C15 Alterations, C17 Alterations, C18 Alterations, C19 Alterations, Early C12 Alterations, Late C12 Alterations, Mid C11 nave, ","STONE, ","FELT, WELSH SLATE, ",CHURCH OF ST JOHN THE BAPTIST,,,,,,,Edlingham,Northumberland,,EDLINGHAM VILLAGE,NU1144109122,55.37595087,-1.82100231,31 December 1969,31 December 1969,236453
https://historicengland.org.uk/listing/the-list/list-entry/1042012,1042012,Listing,I,HULNE FRIARY CURTAIN WALL AND ATTACHED STRUCTURE,,"BARN, CARMELITE FRIARY, COW HOUSE, CURTAIN WALL, FRIARY, GATE, GATEHOUSE, HOUSE, ","20TH CENTURY, MEDIEVAL, POST MEDIEVAL, ","20TH CENTURY, C15, C18, Late C18, Pre C18, ","RUBBLE, STONE, ",,HULNE FRIARY CURTAIN WALL AND ATTACHED STRUCTURE,,,,,,,Denwick,Northumberland,,HULNE PARK,NU 16331 15666,55.43461696,-1.74345745,31 December 1969,31 December 1969,236402
,,,,,,,,,,,HULNE FRIARY CURTAIN WALL AND ATTACHED STRUCTURE,,,,,,,Denwick,Northumberland,,HULNE PARK,NU 16367 15666,55.43461304,-1.74290343,31 December 1969,31 December 1969,236402
https://historicengland.org.uk/listing/the-list/list-entry/1042032,1042032,Listing,I,EDLINGHAM CASTLE RUINS,,"CASTLE, CURTAIN WALL, GATEHOUSE, HALL HOUSE, ","MEDIEVAL, POST MEDIEVAL, ","1295-1300, Built 1295-1300, c1400, C16, Mid C14, ","COBBLE, STONE, ",,EDLINGHAM CASTLE RUINS,,,,,,,Edlingham,Northumberland,,EDLINGHAM VILLAGE,NU 11617 09198,55.37662891,-1.8182291,13 December 1969,13 December 1969,236451
https://historicengland.org.uk/listing/the-list/list-entry/1042043,1042043,Listing,I,DENWICK BRIDGE OVER RIVER ALN,,"ROAD BRIDGE, ","POST MEDIEVAL, ","Constructed 1766, ","ASHLAR, STONE, ",,DENWICK BRIDGE OVER RIVER ALN,,B 1340,,,,,Alnwick,Northumberland,,,NU 19750 13813,55.41783882,-1.68956434,10 January 1953,10 January 1953,236372
,,,,,,,,,,,DENWICK BRIDGE OVER RIVER ALN,,B 1340,,,,,Denwick,Northumberland,,,NU 19750 13813,55.41783882,-1.68956434,10 January 1953,10 January 1953,236372
https://historicengland.org.uk/listing/the-list/list-entry/1042051,1042051,Listing,I,ALNWICK ABBEY GATEHOUSE,ALNWICK ABBEY,"ABBEY, GATEHOUSE, PREMONSTRATENSIAN MONASTERY, PRIVY HOUSE, ","MEDIEVAL, POST MEDIEVAL, ","Late C14, Late C18/C19, Post Medieval, ","ASHLAR, ","LAKE DISTRICT SLATE, ",ALNWICK ABBEY GATEHOUSE,,,,,,,Denwick,Northumberland,,HULNE PARK,NU 17861 14075,55.4202609,-1.71938623,31 December 1969,28 August 1987,236393
https://historicengland.org.uk/listing/the-list/list-entry/1042054,1042054,Listing,I,HULNE FRIARY; RUINS OF CHURCH AND CLAUSTRAL BUILDINGS,,"CARMELITE FRIARY, HOUSE, ","MEDIEVAL, POST MEDIEVAL, ","Claustral building converted C16, Extant c1240-1539, Late C18/Early C19, ","STONE, ",,HULNE FRIARY; RUINS OF CHURCH AND CLAUSTRAL BUILDINGS,,,,,,,Denwick,Northumberland,,HULNE PARK,NU 16336 15730,55.43519193,-1.74338169,31 December 1969,31 December 1969,236399
,,,,,,,,,,,HULNE FRIARY; RUINS OF CHURCH AND CLAUSTRAL BUILDINGS,,,,,,,Denwick,Northumberland,,HULNE PARK,NU 16366 15699,55.43491235,-1.74291017,31 December 1969,31 December 1969,236399
https://historicengland.org.uk/listing/the-list/list-entry/1042076,1042076,Listing,I,CRAGSIDE,,"BATH HOUSE, COUNTRY HOUSE, GATE, ","POST MEDIEVAL, ","1864, 1870-1872, 1872-1877, 1874, 1883-1885, 1895, ","ASHLAR, PEBBLEDASH, RUBBLE, STONE, TIMBER, ","CLAY, TILE, WELSH SLATE, ",CRAGSIDE,,,,,,,Rothbury,Northumberland,,CRAGSIDE,NU 07375 02173,55.31358594,-1.88535137,21 October 1953,21 October 1953,236348
https://historicengland.org.uk/listing/the-list/list-entry/1042088,1042088,Listing,I,COCKLE PARK TOWER,,"TOWER HOUSE, ","MEDIEVAL, POST MEDIEVAL, ","Altered C17, Early C16, Partly rebuilt 1828, Refenestrated c1790, ","BRICK, STONE, TIMBER, ","STONE, ",COCKLE PARK TOWER,,,,,,,Hebron,Northumberland,,COCKLE PARK,NZ 20089 91157,55.21424851,-1.68582171,30 January 1986,30 January 1986,238298
https://historicengland.org.uk/listing/the-list/list-entry/1042645,1042645,Listing,I,MITFORD CASTLE. REMAINS OF WEST CURTAIN WALL BUILDINGS,,"CASTLE, CURTAIN WALL, ","MEDIEVAL, ","Built C12, C13, ","STONE, ",,MITFORD CASTLE. REMAINS OF WEST CURTAIN WALL BUILDINGS,,,,,,,Mitford,Northumberland,,MITFORD,NZ 16992 85433,55.16293286,-1.73484127,20 October 1969,20 October 1969,238932
https://historicengland.org.uk/listing/the-list/list-entry/1042646,1042646,Listing,I,MITFORD CASTLE. REMAINS OF EAST CURTAIN WALL,,"BARMKIN, CURTAIN WALL, GATE, PRIVY HOUSE, ","MEDIEVAL, ","C12, C13, ","STONE, ",,MITFORD CASTLE. REMAINS OF EAST CURTAIN WALL,,,,,,,Mitford,Northumberland,,MITFORD,NZ 17053 85428,55.16287803,-1.73388393,20 October 1969,29 April 1987,238933
https://historicengland.org.uk/listing/the-list/list-entry/1042647,1042647,Listing,I,MITFORD CASTLE. TWO HEADSTONES TO NORTH OF CHAPEL RUIN,,"CEMETERY, GRAVESTONE, ","MEDIEVAL, ","Early C12, ","STONE, ",,MITFORD CASTLE. TWO HEADSTONES TO NORTH OF CHAPEL RUIN,,,,,,,Mitford,Northumberland,,MITFORD,NZ 16999 85446,55.16304691,-1.73472391,20 October 1969,20 October 1969,238935
https://historicengland.org.uk/listing/the-list/list-entry/1042662,1042662,Listing,I,BLAGDON HALL,,"COUNTRY HOUSE, ","EARLY 20TH CENTURY, MID 20TH CENTURY, POST MEDIEVAL, ","1778-1791 Alterations, 1782 Alterations, 1928 alterations, 1944 alterations, 1948-1949 restoration, c1820 Alterations, Constructed 1730-1752, ","ASHLAR, BRICK, ","LAKE DISTRICT SLATE, ",BLAGDON HALL,,,,,,,Stannington,Northumberland,,BLAGDON,NZ 21567 77043,55.08736131,-1.66366149,27 August 1952,27 August 1952,238975
https://historicengland.org.uk/listing/the-list/list-entry/1042725,1042725,Listing,I,MILBOURNE HALL AND STABLE BLOCK,,"COUNTRY HOUSE, STABLE, ","POST MEDIEVAL, ","1801, ","ASHLAR, ","SLATE, ",MILBOURNE HALL AND STABLE BLOCK,,,,,,,Ponteland,Northumberland,,MILBOURNE,NZ 11308 74394,55.06389479,-1.82448502,27 August 1952,27 August 1952,238825
https://historicengland.org.uk/listing/the-list/list-entry/1042759,1042759,Listing,I,THE CHANTRY,CHANTRY WELLS,"CHANTRY CHAPEL, GRAMMAR SCHOOL, INFORMATION CENTRE, MUSEUM, SHOP, ","20TH CENTURY, LATE 20TH CENTURY, MEDIEVAL, POST MEDIEVAL, ","C20 addition, Constructed c1300, Converted 1738, Converted by 1986, ","ASHLAR, RUBBLE, ","SLATE, ",THE CHANTRY,,CHANTRY PLACE,,,,,Morpeth,Northumberland,,,NZ 20043 85885,55.16687407,-1.68691232,11 August 1950,22 August 1986,238707
https://historicengland.org.uk/listing/the-list/list-entry/1042763,1042763,Listing,I,CHURCH OF ST MARY,,"PARISH CHURCH, ","MEDIEVAL, POST MEDIEVAL, ","C18 spire, C19 porch, Largely C14, ","STONE, ","LEAD, SLATE, ",CHURCH OF ST MARY,,,,,,,Morpeth,Northumberland,,HIGH CHURCH,NZ 19711 85088,55.15972714,-1.69217545,11 August 1950,11 August 1950,238714
https://historicengland.org.uk/listing/the-list/list-entry/1042770,1042770,Listing,I,CHURCH OF ST ANDREW,CHURCH OF ST PHILIP AND ST JAMES,"CHURCH, PARISH CHURCH, ","EARLY MEDIEVAL, MEDIEVAL, POST MEDIEVAL, ","C12 chancel, Chancel remodelled; aisles C13, Restored and W end altered 1839, Saxon tympanum, ","STONE, ","SLATE, ",CHURCH OF ST ANDREW,,TOWNE GATE,,,,,Heddon-on-the-Wall,Northumberland,,,NZ 13386 66892,54.99643118,-1.7922904,28 April 1969,22 August 1986,238632
https://historicengland.org.uk/listing/the-list/list-entry/1042821,1042821,Listing,I,SHORTFLATT TOWER,,"HOUSE, TOWER, ","MEDIEVAL, POST MEDIEVAL, ","Early C17, Late C15 or Early C16, ","STONE, ","SLATE, STONE, ",SHORTFLATT TOWER,,,,,,,Belsay,Northumberland,,SHORTFLATT,NZ 07937 80995,55.12327586,-1.87708356,27 August 1952,27 August 1952,238556
https://historicengland.org.uk/listing/the-list/list-entry/1042837,1042837,Listing,I,BELSAY CASTLE,OLD CASTLE COTTAGES,"BARN, HOUSE, TOWER HOUSE, ","MEDIEVAL, POST MEDIEVAL, ","Added 1614, Altered C18-19, Altered C19, Built c1370, Early C18 W wing, now ruinous, Medieval, ","ASHLAR, STONE, ","LEAD, ",BELSAY CASTLE,,,,,,,Belsay,Northumberland,,BELSAY,NZ 08475 78554,55.10133018,-1.8687126,27 August 1952,22 August 1986,238494
